time,SO2,NOx
2006-06-01 TT00:00:00.000000000,1.1,3.8
2006-06-02 TT00:00:00.000000000,1,9
2006-06-03 TT00:00:00.000000000,1,2.1
2006-06-04 TT00:00:00.000000000,0.9,1.8
2006-06-05 TT00:00:00.000000000,0.75,2.53
2006-06-06 TT00:00:00.000000000,0.6,3.255
2006-06-07 TT00:00:00.000000000,0.73,3.98
2006-06-08 TT00:00:00.000000000,0.87,4.7
2006-06-09 TT00:00:00.000000000,1,14.8
2006-06-10 TT00:00:00.000000000,0.93,14.7
2006-06-11 TT00:00:00.000000000,0.86,14.6
2006-06-12 TT00:00:00.000000000,0.8,14.5
2006-06-13 TT00:00:00.000000000,0.65,12.7
2006-06-14 TT00:00:00.000000000,0.5,12.7
2006-06-15 TT00:00:00.000000000,0.8,12.2
2006-06-16 TT00:00:00.000000000,0.4,12.3
2006-06-17 TT00:00:00.000000000,1.3,14
2006-06-18 TT00:00:00.000000000,0.6,14.7
2006-06-19 TT00:00:00.000000000,0.5,14.7
2006-06-20 TT00:00:00.000000000,0.6,14.2
2006-06-21 TT00:00:00.000000000,0.7,14.9
2006-06-22 TT00:00:00.000000000,1,16.1
2006-06-23 TT00:00:00.000000000,0.95,14.7
2006-06-24 TT00:00:00.000000000,0.9,15.9
2006-06-25 TT00:00:00.000000000,0.8,17.6
2006-06-26 TT00:00:00.000000000,0.7,14.9
2006-06-27 TT00:00:00.000000000,0.6,14.5
2006-06-28 TT00:00:00.000000000,0.5,14.1
2006-06-29 TT00:00:00.000000000,0.4,13.7
2006-06-30 TT00:00:00.000000000,0.3,13.3
